time_s,event
0:08,enter
0:26,exit
0:42,enter
0:58,exit
1:09,enter
1:25,exit
1:42,enter
2:00,exit
2:14,enter
2:31,exit
2:49,enter
3:06,exit
3:13,enter
3:32,exit
3:53,enter
4:12,exit
4:23,enter
4:41,exit
4:56,enter
5:14,exit
5:24,enter
5:40,exit
5:58,enter
6:15,exit
6:26,enter
6:45,exit
7:06,enter
7:24,exit
7:32,enter
7:50,exit
8:08,enter
8:24,exit
8:36,enter
8:52,exit
9:07,enter
9:25,exit
