time_s,event
0:08,enter
0:23,exit
0:38,enter
0:55,exit
1:02,enter
1:18,exit
1:31,enter
1:48,exit
1:56,enter
2:13,exit
2:27,enter
2:42,exit
2:51,enter
3:07,exit
3:22,enter
3:38,exit
3:48,enter
4:03,exit
4:22,enter
4:38,exit
4:49,enter
5:04,exit
5:21,enter
5:35,exit
5:45,enter
6:02,exit
6:17,enter
6:33,exit
6:42,enter
6:57,exit
7:12,enter
7:27,exit
7:36,enter
7:52,exit
8:08,enter
8:23,exit
