time_s,event
0:04,enter
0:26,exit
0:39,enter
1:00,exit
1:03,enter
1:23,exit
1:37,enter
2:00,exit
2:05,enter
2:25,exit
2:39,enter
3:00,exit
3:04,enter
3:23,exit
3:35,enter
3:57,exit
4:00,enter
4:22,exit
4:34,enter
4:58,exit
5:00,enter
5:19,exit
5:33,enter
5:55,exit
5:59,enter
6:17,exit
6:30,enter
6:53,exit
6:55,enter
7:15,exit
7:30,enter
7:52,exit
7:56,enter
8:15,exit
8:28,enter
8:49,exit
