time_s,event
0:14,enter
0:35,exit
0:48,enter
1:13,exit
1:16,enter
1:36,exit
1:50,enter
2:16,exit
2:20,enter
2:40,exit
2:54,enter
3:20,exit
3:24,enter
3:44,exit
3:58,enter
4:24,exit
4:26,enter
4:48,exit
5:02,enter
5:27,exit
5:32,enter
5:53,exit
6:05,enter
6:30,exit
6:35,enter
6:56,exit
7:08,enter
7:33,exit
7:38,enter
7:59,exit
8:11,enter
8:36,exit


